%Aromatic,%Negative,%positive,%hydro,%cys,Pi,Weight,size,charge,salt,cysteine,Abundance,Enrichment
5.050505051,20.2020202,11.11111111,45.45454545,0,4.29,11028.47,10,0,0,0,-5.348295802,2.01E-01
5.039370079,14.80314961,16.53543307,38.58267717,0.62992126,5.84,31276.82,10,0,0,0,-6.645897449,2.10E-01
3.225806452,12.25806452,14.19354839,43.87096774,2.580645161,5.1,14171.98,10,0,0,0,-5.094736158,2.11E-01
4.895104895,6.75990676,5.128205128,41.02564103,0.932400932,4.68,39698.65,10,0,0,0,#N/A,2.12E-01
3.875968992,10.85271318,10.07751938,49.6124031,1.550387597,5.25,13905.95,10,0,0,0,-4.867367624,2.18E-01
7.457627119,8.13559322,13.22033898,40,1.355932203,9.08,32915.98,10,0,0,0,-5.727378474,2.24E-01
4.852686308,13.51819757,13.51819757,40.55459272,0.519930676,5.71,64213.01,10,0,0,0,-5.96654177,2.24E-01
5.545617174,11.09123435,7.155635063,36.6726297,2.504472272,4.37,54355.09,10,0,0,0,-6.218787351,2.35E-01
6.074766355,15.42056075,14.48598131,39.25233645,0,5.31,23748.43,10,0,0,0,-4.760874681,2.39E-01
2.007648184,13.7667304,15.583174,29.54110899,0,5.92,113616.2,10,0,0,0,-5.702150698,2.46E-01
6.674907293,12.85537701,14.09147095,35.47589617,0.494437577,6.24,91816.22,10,0,0,0,-7.224422105,2.58E-01
3.821656051,17.8343949,14.01273885,42.03821656,1.27388535,4.79,16983.09,10,0,0,0,-4.816185342,2.61E-01
6.310679612,21.3592233,11.16504854,40.77669903,0.485436893,4.3,22495.85,10,0,0,0,-5.254248116,2.68E-01
1.162790698,14.41860465,8.372093023,14.41860465,0,4.22,46101.96,10,0,0,0,-5.800358027,2.77E-01
5.020920502,21.12970711,12.76150628,33.05439331,0,4.5,53477.36,10,0,0,0,-5.521335643,2.79E-01
4.244817374,11.994077,14.41263574,36.42645607,0.987166831,6.88,227833.86,10,0,0,0,#N/A,2.85E-01
5.93220339,18.6440678,15.25423729,38.98305085,0,4.94,13461.21,10,0,0,0,-6.040473582,2.86E-01
2.88184438,10.08645533,14.26512968,33.42939481,1.585014409,8.84,76670.99,10,0,0,0,#N/A,3.10E-01
8,12,8,36,0,4.5,14453.12,10,0,0,0,#N/A,3.14E-01
1.428571429,10.47619048,16.19047619,27.61904762,0.476190476,9.23,23197.41,10,0,0,0,-5.699862789,3.32E-01
4.716981132,21.69811321,4.716981132,51.88679245,0,3.77,10776.75,10,0,0,0,-4.243781109,3.37E-01
3.821656051,14.01273885,15.2866242,44.58598726,0,6.09,17020.24,10,0,0,0,-5.970086654,3.47E-01
2.716468591,16.46859083,15.6196944,37.52122241,0.509337861,5.45,66265.1,10,0,0,0,-5.661058588,3.48E-01
2.145922747,17.59656652,15.87982833,40.77253219,0,5.32,26340.18,10,0,0,0,-6.010360679,3.54E-01
